,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
87,Аналитик по работе с данными,от 100 000 руб.,100000,NaN,Кадровый Центр на Сокольнической Площади,Москва,Формирование регулярной отчетности по данным из БД. Подготовка нестандартной отчетности и аналитических исследований по запросу…Отличное знание языка SQL-запросов. Отличное владение MS Excel. Основы программирования (опыт не обязателен). Основы использования…,https://www.superjob.ru//vakansii/analitik-po-rabote-s-dannymi-38158904.html,superjob.ru
88,Аналитик данных Excel таблиц,72 849 руб.,NaN,NaN,ГКУ г. Москвы Администратор Московского Парковочного Пространства,Москва,"Выполнение анализа данных, полученных из разных источников. Анализ большого массива данных. Сбор статистических данных. Ведение…ОБЯЗАТЕЛЬНО качественное знание Excel (формулы, сводные таблицы, выборка данных, построение диаграмм любых типов, сверка…",https://www.superjob.ru//vakansii/analitik-dannyh-excel-tablic-38354270.html,superjob.ru
89,Аналитик данных (блок казначейство),По договорённости,NaN,NaN,РТ-ИНФОРМ,"Москва, Спортивная","Обеспечение корректности, актуальности и полноты данных в системе отчетности (остатки по счетам, задолженность по кредитам…Аналитический склад ума, абстрактное мышление, умение сопоставлять цифры, факты и делать выводы. Умение четко формулировать…",https://www.superjob.ru//vakansii/analitik-dannyh-38314572.html,superjob.ru
90,Аналитик данных,По договорённости,NaN,NaN,Сбербанк России,Екатеринбург,"Каждый из нас превращает банк в экосистему, которая окружает человека удобными сервисами и продуктами для жизни. Вам предстоит…Команда, ожидает, что Вы имеете:опыт обработки данных на SQL, Python (с использованием Jupyter Notebook, Jupyter Hub, PyCharm…",https://www.superjob.ru//vakansii/analitik-dannyh-38081924.html,superjob.ru
91,Аналитик BI,до 70 000 руб.,NaN,70000,Пив&ко,Екатеринбург,"Определять. Где открывать новые точки, чтобы они приносили желаемую выручку и прибыль. Когда выходить в новые регионы или…Есть успешный опыт работы аналитиком данных от года. Разбираешься в Excel, Power BI и умеешь строить дашборды. Можешь самостоятельно…",https://www.superjob.ru//vakansii/analitik-bi-38293343.html,superjob.ru
92,Аналитик BI,36 000 — 45 000 руб.,36000,45000,ExploreYourData,Москва,Необходимо будет выполнять две основные задачи. 1) ведение проектов по внедрению отчетности BI в компаниях (общение с заказчиками…Навыки профессиональной работы в Microsoft Power BI. Навыки профессиональной работы в Excel (с надстройками Power Pivot/Query),https://www.superjob.ru//vakansii/analitik-bi-38314675.html,superjob.ru
93,BI Разработчик-аналитик,По договорённости,NaN,NaN,АЙФЭЛЛ,Москва,"Сбор, анализ и визуализация сервисных и бизнес-метрик. Разработка приложений и дашбордов в BI Qlik Sense. Проработка архитектуры…Опыт работы разработки приложений и дашбордов в BI Qlik от года. Опыт разработки витрин данных и отчетов. Понимание интеграции…",https://www.superjob.ru//vakansii/bi-razrabotchik-analitik-38080072.html,superjob.ru
94,BI-разработчик / Аналитик,По договорённости,NaN,NaN,СЛАТА,Иркутск,Поддержка приложений для QlikView. Поддержка сервиса. Устранение инцидентов. Участие в проектах внедрения BI-системы в качестве…Высшее/неоконченное высшее образование. Начальное знания и опыт работы с SQL и реляционными базами данных. Знание одного…,https://www.superjob.ru//vakansii/bi-razrabotchik-37621267.html,superjob.ru
95,Data Analyst,По договорённости,NaN,NaN,Центр изучения и сетевого мониторинга молодёжной среды,Москва,"Формирование бизнес-требований к задаче на базе анализа бизнес-процессов. Постановка задачи для ML-разработчиков с формированием…Высшее образование приоритетно НИУ ВШЭ (Бизнес-информатика, Журналистика данных, Бизнес-анализ) / ФИТиП ИТМО (Санкт-Петербург…",https://www.superjob.ru//vakansii/data-analyst-38052013.html,superjob.ru
96,Data Analyst (отдел аудита информационных технологий),По договорённости,NaN,NaN,Сбербанк России,Екатеринбург,"Получением, обработкой и визуализацией данных (кроме данных банка используем и данные из внешних источников). Проведением…Высшее профильное образование (желательно - информатика, автоматизация, математика, статистика, компьютерные науки). Ана…",https://www.superjob.ru//vakansii/data-analyst-38332188.html,superjob.ru
97,Data analyst,от 200 000 руб.,200000,NaN,Кадровый Центр на Сокольнической Площади,"Москва, Кутузовская","Работа с данными (текст, реплики диалогов), web scraping, разметка. Формирование обучающей и тестовой выборки, очищение данных…Опыт работы с различными источниками данных, в том числе с базами данных с использованием SQL, CSV, Excel. Python, pandas, numpy",https://www.superjob.ru//vakansii/data-analyst-38410031.html,superjob.ru
98,Data analyst,По договорённости,NaN,NaN,Сбербанк России,Москва,"Задачи:Работа с данными (текст, реплики диалогов), web scraping, разметка;Формирование обучающей и тестовой выборки, очищение…Опыт работы с различными источниками данных, в том числе с базами данных с использованием SQL, CSV, Excel;Python, pandas,…",https://www.superjob.ru//vakansii/data-analyst-38310667.html,superjob.ru
