,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
46,Начинающий системный аналитик,,NaN,NaN,ИИС-Консалтинг,ООО ВИС,Аналитик (со знанием Power BI),https://spb.hh.ru/vacancy/46616791?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
47,Системный аналитик (Управление данными),,NaN,NaN,ГКУ Инфогород,Санкт-Петербург,"Разрабатывать отчетность и ее визуализацию при помощи BI инструментов (PowerBI) и базы данных (SQL). Проводить анализ, прогнозирование рынка и клиентской......курсах повышения квалификации по направлению Аналитик/Бизнес Аналитик – предпочтительно. Опыт работы Аналитиком, Бизнес-аналитиком (BI Аналитиком) от 3 лет. ",https://spb.hh.ru/vacancy/46778242?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
48,Data Scientist,,NaN,NaN,COMTEK Inc.,Санкт-Петербург,Аналитик данных (Python),https://spb.hh.ru/vacancy/46012355?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
49,Бизнес-аналитик данных / BI аналитик,,NaN,NaN,Cushman & Wakefield,Prime Sport,"Анализ и прогнозирование розничных продаж в детализации до магазинов, дней, sku. Оптимизация ценообразования с учетом эластичности спроса по цене. Аналогичный опыт работы от 2-х лет. Высшее образование. Уверенное владение SQL и Python. Системный подход в работе. ",https://spb.hh.ru/vacancy/45991045?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
50,Digital аналитик,,NaN,NaN,ГРУППА КОМПАНИЙ SAMCOM,Нижний Новгород,Аналитик данных / Data scientist,https://spb.hh.ru/vacancy/46767003?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
51,Системный аналитик,3 000 – 5 000 USD,3000,5000,АНО Проектный офис по Развитию Туризма и Гостеприимства Москвы,Нижний Новгород,Выдвижения и проверки гипотез на основе данных. - Прогнозирования потребности в определенных функциях платформы и предложение необходимых пользователю. - Изучения данных внутри......запуска на prod-контуре. Опыт в исследовательских проектах (желательно). Понимание технологий обработки больших данных (желательно). Нейросети(желательно). Знание финансовой математики.,https://spb.hh.ru/vacancy/44283228?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
52,Ведущий аналитик данных Отдела развития детального слоя данных DWH (BI),,NaN,NaN, Альфа-Банк,ЮЗ Диамант,Начинающий системный аналитик,https://spb.hh.ru/vacancy/46701253?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
53,Аналитик CRM,,NaN,NaN,SBI Bank,Москва,"...проектах развития аналитики крупных компаний. Разработка требований к отчетам и витринам данных. Согласование документации с заказчиком. Системная аналитика. Требуется аналитический склад ума, а также приветствуется опыт работы аналитиком/разработчиком, знание SQL, но мы все равно будем Вас обучать...",https://spb.hh.ru/vacancy/46620342?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
54,Аналитик,,NaN,NaN,"Букаев.ру,ООО",Москва,Системный аналитик (Управление данными),https://spb.hh.ru/vacancy/46425895?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
55,Аналитик баз данных,до 260 000 руб.,NaN,260000,ООО АйТи-НОВА,ООО Лендсбэй,"Формализовывать требования заказчика, формулировать задачи для команды разработки, дата аналитиков. Участвовать в тестировании изменений и доработок информационных систем города Москвы.Высшее техническое образование. Опыт работы аналитиком от 2-х лет. Понимание процессов разработки сложных высоконагруженных ИТ решений. Умение описывать требования...",https://spb.hh.ru/vacancy/44224556?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
56,"Аналитик данных (SQL,EXCEL,Python),",,NaN,NaN,Сбер для экспертов,Москва,Data Scientist,https://spb.hh.ru/vacancy/46796206?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
